Dateiname,Foliierung,Zweitfoliierung,Ort,place supplied,Datum,date supplied,weranwen,Briefnummer,Struktur,Dokumenttyp,Quellenkritische Anmerkungen,Bemerkung,folder,width,height,Fehler/Anmerkungen,Kontrolle Vollständigkeit,
Kasten_blau_44_2b_0002.jpg,,,Wien,,1686.07.07,,Eleonora Magdalena von Pfalz-Neuburg an Philipp Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; Schreiber,offizielles Schreiben. keine Foliierung im ganzen Faszikel,Kasten_blau_44_2b_0002,1706,2509,"ist ein Brief Eleonora Magdalena von Pfalz-Neuburgs von Schreiberhand mit eigenhändiger Unterschrift, d.h. Kanzleibrief, ich habe es deshalb transkribiert",,
Kasten_blau_44_2b_0003.jpg,,,,,,,,,,,,,Kasten_blau_44_2b_0002,1756,2514,,,
Kasten_blau_44_2b_0004.jpg,,,,,,,,,Adresse,,,an PW,Kasten_blau_44_2b_0002,1756,2514,,,
Kasten_blau_44_2b_0005.jpg,,,Laxenburg,,1688.05.16,,Eleonora Magdalena von Pfalz-Neuburg an Philipp Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,normaler Brief,Kasten_blau_44_2b_0005,1672,2491,,,
Kasten_blau_44_2b_0006.jpg,,,,,,,,,,,,,Kasten_blau_44_2b_0005,1672,2491,,,
Kasten_blau_44_2b_0007.jpg,,,,,,,,,,,,,Kasten_blau_44_2b_0005,1672,2491,,,
Kasten_blau_44_2b_0008.jpg,,,,,,,,,,,,,Kasten_blau_44_2b_0005,1672,2491,"hier würde ich Bild 4 weglassen, denn das ist nur die Rückseite mit einem nationalsozialistischen Archivstempel",,
Kasten_blau_44_2b_0009.jpg,,,Wien,,1688.05.02,,Eleonora Magdalena von Pfalz-Neuburg an Philipp Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; Schreiber,offizielles Schreiben,Kasten_blau_44_2b_0009,1672,2491,"das ist wieder ein Kanzleibrief von Schreiberhand mit eigenhändiger Unterschrift, habe ich transkribiert",,
Kasten_blau_44_2b_0010.jpg,,,,,,,,,Adresse,,,an PW,Kasten_blau_44_2b_0009,1708,2491,,,
Kasten_blau_44_2b_0011.jpg,,,Friedrichsburg,,1688.05.21,,Philipp Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Konzept; Schreiber,Konzept mit Unterschrift,Kasten_blau_44_2b_0011,1744,2740,,,
Kasten_blau_44_2b_0012.jpg,,,Laxenburg,,1688.05.20,,Eleonora Magdalena von Pfalz-Neuburg an Philipp Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2b_0012,1708,2462,,,
Kasten_blau_44_2b_0013.jpg,,,,,,,,,,,,,Kasten_blau_44_2b_0012,1708,2462,,,
Kasten_blau_44_2b_0014.jpg,,,,,,,,,,,,,Kasten_blau_44_2b_0012,1708,2462,,,
Kasten_blau_44_2b_0015.jpg,,,,,,,,,,,,,Kasten_blau_44_2b_0012,1708,2462,,,
Kasten_blau_44_2d_0001.jpg,,,,,,,,,Deckblatt,,,"Kasten blau 44/2 d 1679/80. 1682. 1685/86. ""Briefe der Kaiserin Eleonore an ihren Bruder Pfalzgraf Johann Wilhelm""",,1708,2369,,,
Kasten_blau_44_2d_0002.jpg,,,Wien,,1679.01.19,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,ganzes Faszikel unfoliiert außer jpg 34-37,Kasten_blau_44_2d_0002,1690,2435,,,
Kasten_blau_44_2d_0003.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0002,1690,2448,,,
Kasten_blau_44_2d_0004.jpg,,,Wien,,1679.03.02,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0004,1690,2435,,,
Kasten_blau_44_2d_0005.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0004,1690,2435,,,
Kasten_blau_44_2d_0006.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0004,1690,2435,,,
Kasten_blau_44_2d_0007.jpg,,,Wien,,1679.03.22,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0007,1690,2435,,,
Kasten_blau_44_2d_0008.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0007,1690,2435,,,
Kasten_blau_44_2d_0009.jpg,,,Wien,,1679.04.06,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0009,1690,2435,,,
Kasten_blau_44_2d_0010.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0009,1690,2435,,,
Kasten_blau_44_2d_0011.jpg,,,Wien,,1679.05.02,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0011,1690,2435,,,
Kasten_blau_44_2d_0012.jpg,,,Laxenburg,,1679.06.12,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0012,1712,2508,,,
Kasten_blau_44_2d_0013.jpg,,,Laxenburg,,1679.06.14,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0013,1690,2452,,,
Kasten_blau_44_2d_0014.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0013,1690,2451,,,
Kasten_blau_44_2d_0015.jpg,,,Wien,,1679.07.21,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0015,1690,2451,,,
Kasten_blau_44_2d_0016.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0015,1690,2451,,,
Kasten_blau_44_2d_0017.jpg,,,Wien,,1679.08.03,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0017,1690,2451,,,
Kasten_blau_44_2d_0018.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0017,1690,2451,,,
Kasten_blau_44_2d_0019.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0017,1690,2451,,,
Kasten_blau_44_2d_0020.jpg,,,Brandeis / Brandýs nad Labem,,1679.10.31,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0020,1690,2451,,,
Kasten_blau_44_2d_0021.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0020,1690,2451,,,
Kasten_blau_44_2d_0022.jpg,,,Prag,,1679.11.25,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0022,1690,2451,,,
Kasten_blau_44_2d_0023.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0022,1690,2451,,,
Kasten_blau_44_2d_0024.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0022,1690,2451,,,
Kasten_blau_44_2d_0025.jpg,,,o.O.,,o.D.,Ende 1680,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,"Liegt zwischen 1679.09.25-1681.01.21, wahrscheinlich Herbst 1680 nach Niederkunft in Linz",Kasten_blau_44_2d_0025,1690,2451,,vgl. Liste undatiert neu,
Kasten_blau_44_2d_0026.jpg,,,o.O.,,o.D.,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,Liegt zwischen 1679.09.25-1681.01.21,Kasten_blau_44_2d_0026,1706,2564,,,
Kasten_blau_44_2d_0027.jpg,,,Linz,,1681.01.21,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0027,1706,2564,,,
Kasten_blau_44_2d_0028.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0027,1706,2564,,,
Kasten_blau_44_2d_0029.jpg,,,Wien,,1682.01.04,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0029,1706,2564,,,
Kasten_blau_44_2d_0030.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0029,1706,2564,,,
Kasten_blau_44_2d_0031.jpg,,,Wien,,1685.01.04,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,"""ist à Serenissimo bey der am 21. Feb. 1684 abgangener Post beantwortet worden"" 1684 dürfte irrtümlich, da die Datierung eindeutig 1685 ist",Kasten_blau_44_2d_0031,1690,2529,,,
Kasten_blau_44_2d_0032.jpg,,,,,,,,,,,,,Kasten_blau_44_2d_0031,1706,2564,,,
Kasten_blau_44_2d_0033.jpg,,,,,,,,,Adresse,,,an JW;,Kasten_blau_44_2d_0031,2529,1690,,,
Kasten_blau_44_2d_0034.jpg,112 r,,Heidelberg,,1686.03.20,,Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Abschrift; Schreiber,"Abschrift. plötzlich Foliierung -- Frage, wo der Brief ursprünglich eingeordnet war",Kasten_blau_44_2d_0034,1674,2615,,,
Kasten_blau_44_2d_0035.jpg,112 v,,,,,,,,,,,,Kasten_blau_44_2d_0034,1674,2615,,,
Kasten_blau_44_2d_0036.jpg,113 r,,,,,,,,,,,,Kasten_blau_44_2d_0034,1674,2615,,,
Kasten_blau_44_2d_0037.jpg,113 v,,,,,,,,,,,,Kasten_blau_44_2d_0034,1674,2615,,,
Kasten_blau_44_2d_0038.jpg,,,Wien,,1686.07.25,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0038,1702,2476,,,
Kasten_blau_44_2d_0039.jpg,,,Wiener Neustadt,,1686.05.17,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0039,1702,2476,,,
Kasten_blau_44_2d_0040.jpg,,,,,,,,,Adresse,,,an JW,Kasten_blau_44_2d_0039,2415,1686,,,
Kasten_blau_44_2d_0041.jpg,,,o.O.,,o.D.,1681,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,Liegt zwischen 1686.05.17-1686.06.03,Kasten_blau_44_2d_0041,1702,2531,,,
Kasten_blau_44_2d_0042.jpg,,,o.O.,Ödenburg,o.D.,Oktober 1681,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,"Liegt zwischen 1686.05.17-1686.06.03 erwähnt Casal und Straßburg, demnach wohl 1681 (vgl. 45-8 im Okt. 1681)",Kasten_blau_44_2d_0042,1702,2531,,,
Kasten_blau_44_2d_0043.jpg,,,Wien,,1686.06.03,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0043,1702,2531,,,
